ID,LACT,DIM,MILK,FAT,PROTEIN,BW,DMI,NEL
1419,2,216,40.815,4.76,3.67,728.021978,27.96269721,1.699927806
1771,1,178,39.001,5.17,3.71,615.8163265,25.51178571,1.800767645
1910,1,99,36.7335,5.92,3.44,603.7244898,25.41862444,1.828409271
1781,1,169,42.1755,4.6,3.4,614.4387755,25.60416373,1.809226518
9296,5,105,53.0595,2.86,3.2,707.6923077,27.56627783,1.724096945
1500,2,127,44.8965,4.07,3.35,711.7216117,27.69946028,1.72020065
1301,2,310,43.536,4.17,3.64,745.2380952,28.26396542,1.681576632
1912,1,90,43.9895,4.46,2.93,602.3469388,25.52751172,1.841385073
1481,2,202,45.35,3.99,3.31,725.4578755,28.01006815,1.707891957
9827,4,102,43.536,4.2,3.54,707.1428571,27.42156184,1.717778696
8998,6,156,36.7335,5.88,3.41,717.032967,27.91213543,1.720051312
150,5,215,50.792,3.1,3.28,727.8388278,27.96581602,1.700482367
9905,4,89,42.629,4.42,3.47,704.7619048,27.39158701,1.726174014
9613,4,106,48.071,3.67,3,707.8754579,27.75335574,1.733999331
9520,4,389,42.1755,4.48,3.49,759.7069597,28.65163465,1.673991936
1469,2,193,45.35,3.88,3.44,723.8095238,27.82624058,1.700946869
9683,4,182,43.0825,4.42,3.23,721.7948718,27.9602216,1.712695083
1477,2,73,44.8965,4.02,3.31,701.8315018,27.22775686,1.736729372
1659,2,30,50.3385,2.93,3.62,713.0952381,25.36012517,1.822279261
1796,1,179,43.0825,4.21,3.57,615.9693878,25.36463181,1.791843769
9628,4,223,44.8965,3.78,3.7,729.3040293,27.71291117,1.683024895
1631,2,64,46.7105,3.73,3.2,700.1831502,27.08429081,1.746778959
1569,2,60,51.699,2.94,3.22,701.1904762,26.92253958,1.744494857
1671,1,357,37.6405,5.25,3.93,643.2142857,25.84698346,1.759256523
1175,2,224,44.443,4.08,3.29,729.4871795,28.0105331,1.699601773
1536,2,138,48.5245,3.5,3.05,713.7362637,27.76616035,1.719165356
1949,1,47,40.815,5.11,2.77,595.7653061,24.74105059,1.898148127
1476,2,173,37.187,5.26,4.11,720.1465201,27.42932837,1.685893936
8417,7,215,48.5245,3.45,3.11,727.8388278,28.01103944,1.703030378
